FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
614006	Flow cytometry result	51350465	T COMBO_052115 WK 24.614006.fcs	T COMBO_052115 WK 24.fcs	5300
614007	Flow cytometry result	66866942	Specimen_001_052126 DAY 0.614007.fcs	Specimen_001_052126 DAY 0.fcs	5300
614008	Flow cytometry result	58389029	TRAN_052126 DAY 0.614008.fcs	TRAN_052126 DAY 0.fcs	5300
614009	Flow cytometry result	48901655	TCOMBO_052126 DAY 0.614009.fcs	TCOMBO_052126 DAY 0.fcs	5300
614010	Flow cytometry result	43759190	Specimen_001_052126 WK 12.614010.fcs	Specimen_001_052126 WK 12.fcs	5300
614011	Flow cytometry result	19893203	TCOMBO_052126 WK 12.614011.fcs	TCOMBO_052126 WK 12.fcs	5300
614012	Flow cytometry result	84290724	Specimen_001_052126 WK24.614012.fcs	Specimen_001_052126 WK24.fcs	5300
614013	Flow cytometry result	82482552	TRAN_052126 WK 24.614013.fcs	TRAN_052126 WK 24.fcs	5300
614014	Flow cytometry result	54444499	TCOMBO_052126 WK 24.614014.fcs	TCOMBO_052126 WK 24.fcs	5300
614015	Flow cytometry result	145577305	ARA06_B-MEM_060015 DAY 0.614015.fcs	ARA06_B-MEM_060015 DAY 0.fcs	5300
614016	Flow cytometry compensation or control	108319712	ARA06_B-MEM_33286-04 NC.614016.fcs	ARA06_B-MEM_33286-04 NC.fcs	5300
614017	Flow cytometry compensation or control	45485537	ARA06_B-MEM_B220 FMO.614017.fcs	ARA06_B-MEM_B220 FMO.fcs	5300
614018	Flow cytometry result	79033886	TRAN_060015 DAY 0.614018.fcs	TRAN_060015 DAY 0.fcs	5300
614019	Flow cytometry compensation or control	453978	Peak 6_Tube_001.614019.fcs	Peak 6_Tube_001.fcs	5300
614020	Flow cytometry result	48731012	T COMBO_060015 DAY 0.614020.fcs	T COMBO_060015 DAY 0.fcs	5300
614021	Flow cytometry compensation or control	19259476	T COMBO_FMO PD1.614021.fcs	T COMBO_FMO PD1.fcs	5300
614022	Flow cytometry result	231700103	ARA06_B-MEM_060015 WK12.614022.fcs	ARA06_B-MEM_060015 WK12.fcs	5300
614023	Flow cytometry result	78134443	TRAN_060015 WK 12.614023.fcs	TRAN_060015 WK 12.fcs	5300
614024	Flow cytometry result	64747270	T COMBO_060015 WK 12.614024.fcs	T COMBO_060015 WK 12.fcs	5300
614025	Flow cytometry result	187471008	ARA06_B-MEM_060015 WK24.614025.fcs	ARA06_B-MEM_060015 WK24.fcs	5300
614026	Flow cytometry result	69954108	TRAN_060015 WK 24.614026.fcs	TRAN_060015 WK 24.fcs	5300
614027	Flow cytometry result	47331333	T COMBO_060015 WK 24.614027.fcs	T COMBO_060015 WK 24.fcs	5300
614028	Flow cytometry result	99384985	ARA06_B-MEM_060026 DAY 0.614028.fcs	ARA06_B-MEM_060026 DAY 0.fcs	5300
614029	Flow cytometry result	48820235	TRAN_060026 DAY 0.614029.fcs	TRAN_060026 DAY 0.fcs	5300
614030	Flow cytometry result	39156739	T COMBO_060026 DAY  0.614030.fcs	T COMBO_060026 DAY  0.fcs	5300
614031	Flow cytometry result	87658129	ARA06_B-MEM_060026 WK12.614031.fcs	ARA06_B-MEM_060026 WK12.fcs	5300
614032	Flow cytometry result	53767216	TRAN_060026 WK 12.614032.fcs	TRAN_060026 WK 12.fcs	5300
614033	Flow cytometry result	33265411	T COMBO_060026 WK 12.614033.fcs	T COMBO_060026 WK 12.fcs	5300
614034	Flow cytometry result	94093345	ARA06_B-MEM_060026 WK24.614034.fcs	ARA06_B-MEM_060026 WK24.fcs	5300
